Index,SRR_ID,SAMN_ID,Read_Length,File_Size,Base_Count,SRX_ID,Sample_Name,Date,Sample_Group,Treatment
1,e_SRR3665458,SAMN05232038,104,1.87 G,1.34 Gb,SRX1843966,Monos6h_Ctrl_Repl1,2016-06-1416:16:00Z,Monos6h_Ctrl,no treatment
2,e_SRR3665459,SAMN05232038,113,2.26 G,1.61 Gb,SRX1843967,Monos6h_Ctrl_Repl2,2016-06-1416:14:00Z,Monos6h_Ctrl,no treatment
3,e_SRR3665460,SAMN05232040,121,2.95 G,2.11 Gb,SRX1843968,Monos6h_Can_Repl3,2016-06-1416:24:00Z,Monos6h_Can,Can
4,e_SRR3665461,SAMN05232040,118,1.61 G,1.15 Gb,SRX1843969,Monos6h_Can_Repl4,2016-06-1416:12:00Z,Monos6h_Can,Can
5,e_SRR3665462,SAMN05232041,113,2.07 G,1.49 Gb,SRX1843970,Monos6h_Eco_Repl1,2016-06-1416:15:00Z,Monos6h_Eco,Eco
6,e_SRR3665463,SAMN05232041,116,2.27 G,1.63 Gb,SRX1843971,Monos6h_Eco_Repl2,2016-06-1416:18:00Z,Monos6h_Eco,Eco
7,e_SRR3665464,SAMN05232041,110,2.28 G,1.64 Gb,SRX1843972,Monos6h_Eco_Repl3,2016-06-1416:20:00Z,Monos6h_Eco,Eco
8,e_SRR3665465,SAMN05232041,99,1.31 G,958.87 Mb,SRX1843973,Monos6h_Eco_Repl4,2016-06-1416:10:00Z,Monos6h_Eco,Eco
9,e_SRR3665466,SAMN05232042,110,2.21 G,1.57 Gb,SRX1843974,Monos6h_Ctrl_vitA_Repl1,2016-06-1416:21:00Z,Monos6h_Ctrl_vitA,vitA
10,e_SRR3665467,SAMN05232042,82,1.43 G,1.04 Gb,SRX1843975,Monos6h_Ctrl_vitA_Repl2,2016-06-1416:12:00Z,Monos6h_Ctrl_vitA,vitA
11,e_SRR3665468,SAMN05232042,129,2.20 G,1.58 Gb,SRX1843976,Monos6h_Ctrl_vitA_Repl3,2016-06-1416:15:00Z,Monos6h_Ctrl_vitA,vitA
12,e_SRR3665469,SAMN05232042,119,2.64 G,1.88 Gb,SRX1843977,Monos6h_Ctrl_vitA_Repl4,2016-06-1416:23:00Z,Monos6h_Ctrl_vitA,vitA
13,e_SRR3665470,SAMN05232038,110,1.75 G,1.25 Gb,SRX1843978,Monos6h_Ctrl_Repl3,2016-06-1416:13:00Z,Monos6h_Ctrl,no treatment
14,e_SRR3665471,SAMN05232043,121,2.46 G,1.77 Gb,SRX1843979,Monos6h_Ctrl_vitD_Repl1,2016-06-1416:19:00Z,Monos6h_Ctrl_vitD,vitD
15,e_SRR3665472,SAMN05232043,115,2.00 G,1.43 Gb,SRX1843980,Monos6h_Ctrl_vitD_Repl2,2016-06-1416:14:00Z,Monos6h_Ctrl_vitD,vitD
16,e_SRR3665473,SAMN05232043,110,2.48 G,1.77 Gb,SRX1843981,Monos6h_Ctrl_vitD_Repl3,2016-06-1416:16:00Z,Monos6h_Ctrl_vitD,vitD
17,e_SRR3665474,SAMN05232043,126,1.68 G,1.19 Gb,SRX1843982,Monos6h_Ctrl_vitD_Repl4,2016-06-1416:12:00Z,Monos6h_Ctrl_vitD,vitD
18,e_SRR3665475,SAMN05232044,105,2.22 G,1.57 Gb,SRX1843983,Monos6h_Asp_vitA_Repl1,2016-06-1416:18:00Z,Monos6h_Asp_vitA,Asp_vitA
19,e_SRR3665476,SAMN05232044,115,1.84 G,1.32 Gb,SRX1843984,Monos6h_Asp_vitA_Repl2,2016-06-1416:13:00Z,Monos6h_Asp_vitA,Asp_vitA
