SRR_ID,BioSample,Bases,Bytes,Experiment,GEO_Accession,create_date,Sample Name,treatment
SRR14237133,SAMN18740651,3.51 G,1.31 Gb,SRX10600235,GSM5240652,2021-04-1411:08:00Z,GSM5240652,BE
SRR14237134,SAMN18740650,6.47 G,2.46 Gb,SRX10600236,GSM5240653,2021-04-1412:03:00Z,GSM5240653,BE
SRR14237135,SAMN18740649,4.85 G,1.81 Gb,SRX10600237,GSM5240654,2021-04-1411:28:00Z,GSM5240654,BE
SRR14237136,SAMN18740648,2.71 G,1.01 Gb,SRX10600238,GSM5240655,2021-04-1411:20:00Z,GSM5240655,BV
SRR14237137,SAMN18740647,2.98 G,1.10 Gb,SRX10600239,GSM5240656,2021-04-1411:04:00Z,GSM5240656,BV
SRR14237138,SAMN18740646,3.05 G,1.14 Gb,SRX10600240,GSM5240657,2021-04-1411:10:00Z,GSM5240657,BV
SRR14237139,SAMN18740645,3.73 G,1.41 Gb,SRX10600241,GSM5240658,2021-04-1411:20:00Z,GSM5240658,DE
SRR14237140,SAMN18740644,1.90 G,743.24 Mb,SRX10600242,GSM5240659,2021-04-1410:51:00Z,GSM5240659,DE
SRR14237141,SAMN18740643,1.51 G,569.75 Mb,SRX10600243,GSM5240660,2021-04-1410:46:00Z,GSM5240660,DE
SRR14237142,SAMN18740642,1.54 G,590.03 Mb,SRX10600244,GSM5240661,2021-04-1410:43:00Z,GSM5240661,DV
SRR14237143,SAMN18740641,2.10 G,802.75 Mb,SRX10600245,GSM5240662,2021-04-1411:07:00Z,GSM5240662,DV
SRR14237144,SAMN18740640,3.10 G,1.16 Gb,SRX10600246,GSM5240663,2021-04-1411:09:00Z,GSM5240663,DV
SRR14237145,SAMN18740639,1.31 G,495.77 Mb,SRX10600247,GSM5240664,2021-04-1410:41:00Z,GSM5240664,LE
SRR14237146,SAMN18740638,2.52 G,959.20 Mb,SRX10600248,GSM5240665,2021-04-1411:02:00Z,GSM5240665,LE
SRR14237147,SAMN18740674,1.42 G,546.10 Mb,SRX10600249,GSM5240666,2021-04-1410:51:00Z,GSM5240666,LE
